imdb;year;budget;domgross;intgross;budget_2013;domgross_2013;intgross_2013;bechdel
tt0242998;2001;0,01;0,020384136;0,020384136;0,01315846;0,026822383;0,026822383;0
tt0907657;2006;0,00015;0,009445857;0,018997174;0,000173369;0,010917487;0,021956864;0
tt1860353;2013;0,135;0,08302813;0,28382813;0,135;0,08302813;0,28382813;0
tt1174732;2009;0,0075;0,012574914;0,029652736;0,008142987;0,013652981;0,032194912;1
tt0363547;2004;0,028;0,058990765;0,103452875;0,034529401;0,072746991;0,127577349;1
tt0887883;2008;0,037;0,060355347;0,163415735;0,040043484;0,065319955;0,176857711;0
tt0338751;2004;0,11;0,102608827;0,214608827;0,135651216;0,126536475;0,264654077;0
tt0892255;2008;0,058;0,000293708;0,030118557;0,062770866;0,000317867;0,032595998;0
tt0116313;1996;0,03;0,105489203;0,181489203;0,044554948;0,156668864;0,269541399;1
tt0370263;2004;0,07;0,080281096;0,172543519;0,086323501;0,099002076;0,212779439;0
tt0373889;2007;0,15;0,292004738;0,942943935;0,168531522;0,32808002;1,059438513;1
tt0120749;1998;0,06;0,032983332;0,032983332;0,085747939;0,047137546;0,047137546;0
tt0844286;2008;0,02;0,003531756;0,005531756;0,021645126;0,003822265;0,005986778;0
tt0120737;2001;0,109;0,31554475;0,887217688;0,143427209;0,415208284;1,167441808;0
tt1389137;2011;0,05;0,07562455;0,11892455;0,051784539;0,07832365;0,123169061;0
tt2109184;2012;0,005;0,053900335;0,142793842;0,005073193;0,054689359;0,144884139;1
tt1611224;2012;0,0675;0,037519139;0,115119139;0,068488103;0,038068365;0,116804318;0
tt0107290;1993;0,063;0,395708305;1,035626872;0,101584911;0,638063379;1,66990577;1
tt0298228;2002;0,0043;0,020779666;0,039892476;0,005569271;0,026913392;0,051667906;1
tt0166485;1999;0,075;0,039251128;0,039251128;0,104884652;0,054891212;0,054891212;0
tt1093357;2011;0,0348;0,021443494;0,062831715;0,036042039;0,022208829;0,065074228;1
tt0837562;2012;0,085;0,148313048;0,359222014;0,086244278;0,150484138;0,364480509;1
tt0082971;1981;0,02;0,248159971;0,389925971;0,051237724;0,635757611;0,998945973;0
tt0267913;2002;0,084;0,153294164;0,276294164;0,108795054;0,198543415;0,357850459;1
tt0266452;2002;0,05;0,008355815;0,008374062;0,064758961;0,010822278;0,010845911;0
tt0094625;1988;0,008;0,000019585;0,000019585;0,015757176;0,000038576;0,000038576;0
tt0070735;1973;0,0055;0,159616327;0,159616327;0,028841418;0,837011132;0,837011132;0
tt1001508;2009;0,04;0,093953653;0,178390243;0,043429264;0,10200845;0,193683923;1
tt0386588;2005;0,055;0,177784257;0,366784257;0,065616822;0,212102508;0,43758577;0
tt0079574;1979;0,031;0,0703;0,2103;0,099496576;0,225632559;0,674971936;0
tt0315327;2003;0,081;0,242704995;0,483473962;0,102553043;0,307285628;0,612120077;1
tt1003034;2009;0,0066;0,000000828;0,000000828;0,007165829;0,000000899;0,000000899;0
tt0479884;2006;0,012;0,027838408;0,043924923;0,013869556;0,03217553;0,050768266;0
tt0083642;1982;0,0205;0,069701637;0,069701637;0,049471994;0,16820873;0,16820873;1
tt0249462;2000;0,005;0,021995263;0,109280263;0,006764542;0,029757576;0,147846184;1
tt1104001;2010;0,2;0,172062763;0,397562763;0,213646368;0,183802922;0,424689202;0
tt0401792;2005;0,04;0,07410382;0,15875382;0,047721325;0,088408312;0,189398567;1
tt0758752;2010;0,03;0,032367005;0,102719647;0,032046955;0,034575465;0,109728398;0
tt0119528;1997;0,045;0,181410615;0,302710615;0,065305716;0,263270001;0,439305185;0
tt0467197;2008;0,035;0,040687294;0,085761789;0,037878971;0,044034081;0,092816237;1
tt0120746;1998;0,065;0,093828745;0,2337;0,0928936;0,134093691;0,333988221;0
tt1226229;2010;0,04;0,061153526;0,091455875;0,042729274;0,065326144;0,097696078;0
tt2024544;2013;0,02;0,053107035;0,158607035;0,02;0,053107035;0,158607035;0
tt1598778;2011;0,06;0,075658097;0,137551594;0,062141447;0,078358394;0,142460919;1
tt1136608;2009;0,03;0,115646235;0,215196627;0,032571948;0,125560771;0,233645777;0
tt0493949;2010;0,015;0,026167002;0,027469621;0,016023478;0,027952425;0,029343924;1
tt0404203;2006;0,014;0,005463019;0,014763019;0,016181149;0,006314137;0,017063043;1
tt0822847;2011;0,06;0,029136626;0,084154026;0,062141447;0,030176535;0,087157549;0
tt0327437;2004;0,11;0,024004159;0,072004159;0,135651216;0,029601758;0,088795016;0
tt1010048;2008;0,014;0,141319928;0,384519665;0,015151588;0,152944384;0,416148834;0
tt0111301;1994;0,035;0,033423;0,099423;0,055008264;0,052529749;0,156259619;1
tt1197624;2009;0,053;0,073357727;0,131159781;0,057543775;0,079646802;0,142404318;0
tt0093818;1987;0,016;0,014792779;0,014792779;0,032806358;0,030331075;0,030331075;0
tt1486185;2011;0,042;0,037662162;0,090300442;0,043499013;0,039006354;0,093523336;1
tt0382189;2004;0,0017;0,001000915;0,004951476;0,002096428;0,001234321;0,006106125;1
tt2005374;2013;0,0192;#VALUE!;#VALUE!;0,0192;#VALUE!;#VALUE!;0
tt0108255;1993;0,042;0,020844907;0,020844907;0,067723274;0,033611556;0,033611556;0
tt0962726;2008;0,011;0,090559416;0,27439288;0,011904819;0,0980085;0,296963426;1
tt1615147;2011;0,0034;0,005353586;0,017872206;0,003521349;0,00554466;0,018510079;0
tt0295700;2003;0,01;0,015417771;0,028649556;0,01266087;0,019520239;0,036272829;1
tt0881891;2009;0,015;0,033862903;0,040127259;0,016285974;0,036766024;0,043567433;1
tt0499549;2009;0,425;0,760507625;2,783918982;0,461435929;0,825707158;3,022588801;0
tt0327247;2004;0,03;0,016323969;0,026323969;0,036995786;0,020130602;0,032462531;0
tt1111422;2009;0,11;0,065452312;0,15236437;0,119430476;0,071063643;0,165426811;0
tt1277953;2012;0,145;0,216391482;0,746921271;0,147122592;0,219559143;0,757855127;0
tt0482606;2008;0,009;0,05259761;0,083051676;0,009740307;0,056924095;0,089883201;0
tt0955308;2010;0,21;0,105487148;0,322459006;0,224328687;0,11268473;0,344460978;0
tt0441909;2006;0,0094;0,012899867;0,085599867;0,010864486;0,014909619;0,098936014;1
tt1172233;2009;0,015;0,013043363;0,018856151;0,016285974;0,014161591;0,020472719;1
tt0109830;1994;0,055;0,329694499;0,679400525;0,086441558;0,518169206;1,067789822;0
tt2229499;2013;0,0055;0,024477704;0,026377704;0,0055;0,024477704;0,026377704;0
tt0162222;2000;0,085;0,233632142;0,427230516;0,114997212;0,316082883;0,578003746;0
tt0099810;1990;0,03;0,120709866;0,2005;0,053489262;0,215222722;0,357486568;0
tt0119080;1997;0,005;0,014843425;0,014843425;0,007256191;0,021541344;0,021541344;1
tt0120903;2000;0,075;0,157299717;0,296339717;0,101468129;0,212812106;0,400920487;0
tt0870111;2008;0,029;0,018622031;0,028144586;0,031385433;0,020153811;0,030459656;0
tt0438097;2006;0,075;0,195330621;0,651899282;0,086684726;0,225762418;0,753462808;0
tt0418279;2007;0,151;0,319246193;0,708272592;0,169655066;0,35868698;0,795775055;0
tt0879870;2010;0,06;0,08057401;0,205846861;0,06409391;0,086071723;0,219892171;1
tt0361748;2009;0,07;0,12083105;0,31697172;0,076001212;0,131190089;0,344146212;0
tt0408985;2006;0,045;0,038399961;0,043343247;0,052010836;0,044382535;0,050095967;1
tt0286499;2002;0,0056;0,032543449;0,076730377;0,007253004;0,042149599;0,09937959;1
tt0094862;1988;0,009;0,033244684;0,044196684;0,017726823;0,065480292;0,087051866;1
tt0286112;2001;0,01;0,000488872;0,042776032;0,01315846;0,00064328;0,056286669;0
tt1591479;2012;0,012;0,070012847;0,082497035;0,012175663;0,071037735;0,083704673;0
tt0405508;2006;0,0053;0,002197694;0,029197694;0,006125721;0,002540087;0,033746588;1
tt0067741;1971;0,053012938;0,070327868;0,107190108;0,305063707;0,404702718;0,616827003;0
tt1228987;2010;0,02;0,012134935;0,028270399;0,021364637;0,012962924;0,03019934;0
tt0395584;2005;0,007;0,017044981;0,020940428;0,008351232;0,020335227;0,024982624;1
tt0105151;1992;0,008;0,021706101;0,028876702;0,013282778;0,036039665;0,047945352;1
tt1656190;2012;0,033;0,01714208;0,041495213;0,033483073;0,017393015;0,042102643;0
tt0083972;1982;0,00225;0,036690067;0,036690067;0,005429853;0,088542965;0,088542965;0
tt0088763;1985;0,019;0,210609762;0,383874862;0,041136059;0,455981879;0,831110482;0
tt0082340;1981;0,006;0,0252447;0,0252447;0,015371317;0,064674049;0,064674049;0
tt0112389;1993;0,024;0,000669276;0,000669276;0,038699014;0,00107918;0,00107918;0
tt0368933;2004;0,045;0,095149435;0,122071435;0,055493679;0,117337605;0,150537624;1
tt0290095;2002;0,06;0,050586;0,104429625;0,077710753;0,065517936;0,13525508;0
tt0467406;2007;0,007;0,143495265;0,231450102;0,007864804;0,16122317;0,260044254;1
tt1103982;2009;0,0013;0,00069584;0,00100584;0,001411451;0,000755495;0,001092072;0
tt0815244;2007;0,0165;0,011892415;0,013636339;0,018538467;0,013361645;0,01532102;1
tt1981677;2012;0,017;0,065001093;0,115331177;0,017248856;0,065952616;0,11701946;1
tt0114319;1995;0,058;0,053458319;0,0871;0,088669209;0,08172598;0,133156691;1
tt1046173;2009;0,175;0,150201498;0,302469017;0,190003029;0,163078512;0,328400169;0
tt0112573;1995;0,072;0,075545647;0,209;0,110072121;0,115492633;0,319514907;0
tt0990407;2011;0,11;0,098780042;0,22798315;0,113925987;0,102305579;0,236120048;0
tt0257756;2002;0,042;0,041543207;0,0637811;0,054397527;0,053805898;0,082607955;1
tt1764234;2012;0,015;0,014945541;0,037238774;0,015219578;0,015164322;0,037783896;0
tt0295297;2002;0,1;0,26198788;0,878979634;0,129517922;0,339321257;1,138436153;1
tt0367882;2008;0,185;0,317023851;0,786558145;0,200217418;0,343101064;0,851257517;0
tt0348150;2006;0,232;0,20012;0,390874;0,268144752;0,231297965;0,451770741;0
tt1596346;2011;0,018;0,043853424;0,047158652;0,018642434;0,045418587;0,048841781;1
tt0114709;1995;0,03;0,191780865;0,364530148;0,045863384;0,293190647;0,557286202;0
tt1399683;2010;0,002;0,006531503;0,016131552;0,002136464;0,006977159;0,017232238;1
tt0369339;2004;0,06;0,100170152;0,217670152;0,073991573;0,123529118;0,268429281;0
tt0134273;1999;0,04;0,036443442;0,096398826;0,055938481;0,05096477;0,134810098;0
tt1646987;2012;0,15;0,083670083;0,301970083;0,152195785;0,084894893;0,306390492;0
tt0486321;2008;0,025;0,014543943;0,057546746;0,027056408;0,015740274;0,062280329;0
tt0290334;2003;0,125;0,214949694;0,407711549;0,15826087;0,272145004;0,516198274;1
tt0112346;1995;0,062;0,060022813;0,107822813;0,094784326;0,091761643;0,164837302;1
tt1302011;2011;0,15;0,165249063;0,664837547;0,155353618;0,171146932;0,688566122;1
tt2125435;2012;0,0018;0,012795746;0,021080058;0,001826349;0,012983057;0,02138864;0
tt1226236;2010;0,01;0,005005465;0,015132211;0,010682318;0,005346997;0,01616471;1
tt0367027;2006;0,002;0,001985292;0,001985292;0,002311593;0,002294593;0,002294593;1
tt0082509;1981;0,0093;0,019571091;0,019571091;0,023825542;0,050138908;0,050138908;0
tt0065466;1970;0,001;0,009;0,009;0,005997631;0,053978683;0,053978683;1
tt0096754;1989;0,07;0,054243125;0,054243125;0,131571219;0,101954772;0,101954772;1
tt0429591;2006;0,012;0,018597342;0,022978953;0,013869556;0,02149474;0,02655899;1
tt0374900;2004;0,0004;0,044540956;0,046122713;0,000493277;0,05492759;0,056878201;0
tt0121765;2002;0,115;0,31067674;0,656695615;0,14894561;0,402382056;0,850538512;0
tt1226681;2008;0,0015;0,000003865;0,000031916;0,001623384;0,000004183;0,000034541;0
tt0119567;1997;0,075;0,229086679;0,786686679;0,108842859;0,332459322;1,141669701;0
tt0145660;1999;0,035;0,206040085;0,310332636;0,048946171;0,288139235;0,433988407;0
tt0071853;1975;0,0004;0,003427696;0,005028948;0,00173124;0,014835412;0,021765791;0
tt0425123;2005;0,058;0,04831813;0,100687083;0,069195921;0,05764513;0,120123026;1
tt0452637;2006;0,075;0,042285169;0,072785169;0,086684726;0,048873044;0,084124832;0
tt1411250;2013;0,038;0,042025135;0,092425135;0,038;0,042025135;0,092425135;0
tt0376541;2004;0,035;0,033987757;0,115476509;0,043161751;0,04191346;0,142404808;1
tt0116908;1996;0,065;0,033447612;0,033447612;0,09653572;0,04967522;0,04967522;0
tt0465551;2006;0,0275;0,017510118;0,049752391;0,0317844;0,02023813;0,057503632;1
tt1411238;2011;0,025;0,07066222;0,149228078;0,02589227;0,07318421;0,154554145;1
tt0120912;2002;0,14;0,190418803;0,441767803;0,18132509;0,246626476;0,572168477;0
tt0414852;2004;0,015;0,001200216;0,011208291;0,018497893;0,001480098;0,013821985;0
tt1598822;2011;0,026;0,054544638;0,143663899;0,02692796;0,056491379;0,148791377;1
tt1045772;2009;0,013;0,002037459;0,015144685;0,014114511;0,002212134;0,016443063;0
tt0094012;1987;0,0227;0,038119483;0,038119483;0,046544021;0,078160088;0,078160088;0
tt0118583;1997;0,06;0,047795018;0,1607;0,087074287;0,069361952;0,233213967;1
tt1183923;2010;0,01;0,000152857;0,000312857;0,010682318;0,000163287;0,000334204;1
tt0280590;2002;0,05;0,126293452;0,171269535;0,064758961;0,163572654;0,221824742;0
tt0159365;2003;0,08;0,095632614;0,161632614;0,101286957;0,121079205;0,204640944;1
tt0203119;2000;0,0043;0,006946056;0,010154577;0,005817506;0,009397377;0,013738212;0
tt0472033;2009;0,03;0,031749894;0,048559999;0,032571948;0,034471863;0,052723125;0
tt0118749;1997;0,015;0,026410771;0,043111725;0,021768572;0,038328318;0,062565379;0
tt1226753;2010;0,02;0,031177548;0,046604054;0,021364637;0,03330485;0,049783934;1
tt1547234;2012;0,035;0,020275446;0,031393201;0,03551235;0,020572249;0,031852752;1
tt0954947;2010;0,013;0,000217277;0,003617277;0,013887014;0,000232102;0,00386409;0
tt1571222;2011;0,02;0,005702083;0,014807531;0,020713816;0,005905595;0,015336023;0
tt0100814;1990;0,01;0,016667084;0,016667084;0,017829754;0,029717001;0,029717001;1
tt0114508;1995;0,035;0,060054449;0,113354449;0,053507281;0,091810008;0,173293953;0
tt0146882;2000;0,02;0,027277055;0,047881663;0,027058168;0,036903356;0,064779503;0
tt1371155;2010;0,008;0,001095369;0,015644196;0,008545855;0,001170108;0,016711628;1
tt1622979;2011;0,04;0,042587643;0,157887643;0,041427631;0,044107629;0,163522777;0
tt0121164;2005;0,03;0,053359111;0,114770654;0,035790994;0,063659187;0,136925192;0
tt1176740;2009;0,021;0,009451946;0,010108016;0,022800364;0,010262276;0,010974592;1
tt0088993;1985;0,018;#VALUE!;#VALUE!;0,038971004;#VALUE!;#VALUE!;0
tt0242423;2000;0,014;0,046729374;0,073180297;0,018940717;0,063220562;0,099006237;0
tt0480249;2007;0,15;0,25639301;0,585410052;0,168531522;0,288068696;0,657733649;1
tt0131646;1999;0,03;0,011578022;0,011578022;0,041953861;0,016191424;0,016191424;0
tt1939659;2013;0,03;0,035266619;0,085001659;0,03;0,035266619;0,085001659;1
tt1235189;2010;0,008;0,000109338;0,000109338;0,008545855;0,000116798;0,000116798;0
tt0086984;1984;0,01;0,00880194;0,00880194;0,02241444;0,019729056;0,019729056;0
tt0144168;1999;0,013;0,006276869;0,006276869;0,018180006;0,008777963;0,008777963;1
tt0366551;2004;0,009;0,018225165;0,018225165;0,011098736;0,022475144;0,022475144;1
tt0075860;1977;0,02;0,166;0,3377;0,076862926;0,637962288;1,29783051;0
tt0362478;2009;0,025;0,015051977;0,026341896;0,02714329;0,016342407;0,028600229;1
tt0246578;2001;0,0045;0,001270522;0,007696529;0,005921307;0,001671811;0,010127447;0
tt0212338;2000;0,055;0,16622504;0,304599899;0,074409961;0,22488725;0,412095756;0
tt0386140;2005;0,08;0,045575336;0,141475336;0,09544265;0,054372886;0,168784763;0
tt0327162;2004;0,1;0,059475623;0,096221971;0,123319288;0,073344915;0,118660249;1
tt0398913;2006;0,03;0,000480314;0,007756224;0,03467389;0,000555145;0,008964615;1
tt0285531;2003;0,068;0,033685268;0,075685268;0,086093913;0,042648478;0,095824131;0
tt0086567;1983;0,012;0,074433837;0,074433837;0,028072261;0,174127177;0,174127177;0
tt0286261;2002;0,009;0,000184255;0,000184255;0,011656613;0,000238643;0,000238643;1
tt1164999;2010;0,035;0,005101237;0,025101237;0,037388114;0,005449304;0,026813941;0
tt0162973;1998;0,002;0,001152411;0,001152411;0,002858265;0,001646948;0,001646948;0
tt0206275;2001;0,013;0,091038276;0,131638276;0,017105997;0,119792347;0,173215693;1
tt0073629;1975;0,0012;0,139876417;0,139876417;0,00519372;0,605399166;0,605399166;0
tt0181984;2000;0,009;0,016963963;0,028773637;0,012176175;0,022950688;0,038928095;0
tt0275022;2002;0,012;0,037188667;0,057;0,015542151;0,048165989;0,073825215;1
tt1790885;2012;0,0525;0,095720716;0,137720716;0,053268525;0,09712193;0,13973675;1
tt1130884;2010;0,08;0,128012934;0,296831073;0,085458547;0,136747492;0,317084404;0
tt0325980;2003;0,125;0,305411224;0,634954103;0,15826087;0,386677167;0,803907108;0
tt0938283;2010;0,15;0,131772187;0,319713881;0,160234776;0,140763246;0,341528548;0
tt0103639;1992;0,028;0,217350219;0,504050219;0,046489723;0,360876835;0,836898388;0
tt0358082;2005;0,08;0,128200012;0,260700012;0,09544265;0,152946861;0,311023751;0
tt1300854;2013;0,2;0,408992272;1,212692272;0,2;0,408992272;1,212692272;0
tt0120694;1998;0,017;0,055041738;0,055041738;0,024295249;0,078661926;0,078661926;1
tt0475394;2006;0,017;0,035662731;0,056047261;0,019648538;0,041218854;0,064779219;0
tt0175880;1999;0,037;0,022450975;0,048446802;0,051743095;0,031396836;0,067751013;0
tt2294629;2013;0,15;0,393050114;1,004550114;0,15;0,393050114;1,004550114;1
tt1288558;2013;0,017;0,054239856;0,097402049;0,017;0,054239856;0,097402049;1
tt2017020;2013;0,11;0,071017784;0,348545841;0,11;0,071017784;0,348545841;1
tt0161081;2000;0,09;0,155464351;0,288693989;0,121761754;0,210329023;0,390576517;1
tt0096256;1988;0,004;0,013;0,013;0,007878588;0,025605411;0,025605411;0
tt0398286;2010;0,26;0,200821936;0,586581936;0,277740279;0,214524387;0,626605502;1
tt0119116;1997;0,095;0,063570862;0,2639;0,137867622;0,092256459;0,382981741;0
tt0120913;2000;0,075;0,022751979;0,036751979;0,101468129;0,030781343;0,04972206;1
tt0765010;2009;0,026;0,028544157;0,04504387;0,028229022;0,030991293;0,048905553;1
tt0200550;2000;0,045;0,060786269;0,115786269;0,060880877;0,082238253;0,156648214;0
tt0910970;2008;0,18;0,223808164;0,532590994;0,194806136;0,242217798;0,576399965;0
tt1430626;2012;0,055;0,031051126;0,12305622;0,055805121;0,03150567;0,124857587;0
tt1408101;2013;0,19;0,228778661;0,466978661;0,19;0,228778661;0,466978661;0
tt1343092;2013;0,19;0,144840419;0,351040419;0,19;0,144840419;0,351040419;0
tt1436562;2011;0,09;0,143619809;0,487519809;0,093212171;0,148745713;0,504919774;0
tt1266029;2009;0,0019;0,001445366;0,007785229;0,00206289;0,00156928;0,008452669;0
tt0314331;2003;0,045;0,059472278;0,247967903;0,056973913;0,075297075;0,313948928;1
tt2334873;2013;0,018;0,033345833;0,068447831;0,018;0,033345833;0,068447831;1
tt1981115;2013;0,17;0,20467479;0,63167479;0,17;0,20467479;0,63167479;0
tt0081375;1980;0,015;0,069847348;0,069847348;0,042416518;0,197512086;0,197512086;1
tt0084827;1982;0,017;0,026918576;0,026918576;0,041025556;0,064961738;0,064961738;0
tt0985699;2008;0,09;0,083077762;0,203902107;0,097403068;0,089911432;0,220674342;0
tt1396218;2011;0,055;0,068224452;0,189624452;0,056962993;0,070659436;0,196392298;0
tt1282140;2010;0,008;0,058401464;0,076200721;0,008545855;0,062386303;0,081400037;1
tt1229238;2011;0,145;0,209397903;0,69471323;0,150175164;0,216871479;0,719508092;0
tt0067992;1971;0,003;0,004;0,004;0,017263543;0,023018057;0,023018057;0
tt1817273;2012;0,015;0,021403519;0,047011449;0,015219578;0,021716836;0,047699629;0
tt0074812;1976;0,007;0,025;0,025;0,028642791;0,102295681;0,102295681;0
tt0112579;1995;0,022;0,071516617;0,175516617;0,033633148;0,109333135;0,268326198;1
tt1235796;2009;0,012;0,000550472;0,000550472;0,013028779;0,000597665;0,000597665;1
tt0113855;1995;0,02;0,070433227;0,122133227;0,030575589;0,107676871;0,186714768;0
tt0385267;2004;0,026;0,045489752;0,063489752;0,032063015;0,056097638;0,07829511;0
tt0465580;2009;0,038;0,031811527;0,044411527;0,041257801;0,03453878;0,048218998;1
tt0199753;2000;0,08;0,01748089;0,033463969;0,108232671;0,023650043;0,045273684;0
tt1335975;2013;0,225;0,038362475;0,145803842;0,225;0,038362475;0,145803842;0
tt1640459;2011;0,003;0,000703372;0,000834953;0,003107072;0,000728476;0,000864753;0
tt1423894;2010;0,03;0,00750256;0,008845575;0,032046955;0,008014473;0,009449125;1
tt0882978;2008;0,02;#VALUE!;0,02213959;0,021645126;#VALUE!;0,023960711;0
tt1080016;2009;0,09;0,196573705;0,886968695;0,097715844;0,213426283;0,963009937;0
tt1244754;2010;0,0125;0,006797696;0,010133552;0,013352898;0,007261515;0,010824983;1
tt1392170;2012;0,08;0,408010692;0,684510692;0,081171085;0,413983383;0,694530947;1
tt0448011;2009;0,05;0,079957634;0,187858642;0,05428658;0,08681253;0,203964063;0
tt0116361;1996;0,003;0,000295493;0,000295493;0,004455495;0,000438856;0,000438856;1
tt0230600;2001;0,017;0,096522687;0,209947037;0,022369381;0,127008987;0,27625796;1
tt0395972;2005;0,03;0,018324242;0,025224242;0,035790994;0,021861428;0,030093356;1
tt0180093;2000;0,0045;0,003635482;0,007390108;0,006088088;0,004918474;0,009998139;1
tt0335119;2003;0,012;0,011634362;0,043281552;0,015193043;0,014730114;0,054798208;1
tt0310778;2003;0,02;0,002353728;0,008361736;0,025321739;0,002980024;0,010586685;1
tt0409182;2006;0,16;0,060674817;0,181674817;0,184927415;0,070127732;0,20997909;0
tt0387131;2005;0,0255;0,033579798;0,081079798;0,030422345;0,040061811;0,096730885;1
tt1300851;2009;0,008;0,010273187;0,010273187;0,008685853;0,011153924;0,011153924;0
tt0090555;1986;0,005;0,174803506;0,328;0,010618824;0,37124152;0,696594829;0
tt1568346;2011;0,09;0,102515793;0,233170238;0,093212171;0,106174662;0,241492267;0
tt0328538;2003;0,002;0,004601043;0,009505996;0,002532174;0,005825321;0,012035418;1
tt0366627;2005;0,0285;0,006301131;0,015452978;0,034001444;0,007517458;0,018435915;0
tt1924429;2013;0,016;0,002322593;0,022594052;0,016;0,002322593;0,022594052;0
tt0298814;2003;0,085;0,03111126;0,074132631;0,107617391;0,03938956;0,093858357;1
tt0265086;2001;0,095;0,108638745;0,159691085;0,125005366;0,142951853;0,210128869;0
tt0478304;2011;0,035;0,013305665;0,062305665;0,036249178;0,013780555;0,064529403;0
tt1446192;2012;0,145;0,103412758;0,306900902;0,147122592;0,104926572;0,311393491;0
tt1991245;2012;0,001;0,01811964;0,03839002;0,001014639;0,018384886;0,038951995;0
tt0862846;2008;0,005;0,012062558;0,016462558;0,005411282;0,01305478;0,017816707;1
tt0076245;1977;0,006;0,000065108;0,001365108;0,023058878;0,00025022;0,00524631;1
tt0375210;2005;0,01;0,05609436;0,09209436;0,011930331;0,06692243;0,109871622;0
tt0264761;2001;0,0015;0,007025722;0,008831884;0,001973769;0,009244768;0,011621399;1
tt0120586;1998;0,01;0,006719864;0,006719864;0,014291323;0,009603575;0,009603575;0
